"Notes"	"State"	"State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error	% of Total Deaths
	"Arkansas"	"05"	"2018"	"2018"	438	2030067	21.575642577	19.555031381	23.596253773	1.030924080	17.681076310	15.997259982	19.364892638	0.859089963	0.154661563%
	"Arkansas"	"05"	"2019"	"2019"	419	2038589	20.553431810	18.585394143	22.521469477	1.004100851	16.352077891	14.758726801	17.945428980	0.812934229	0.147952500%
	"Arkansas"	"05"	"2020"	"2020"	432	2052176	21.050826050	19.065721702	23.035930397	1.012808341	16.737909841	15.133948878	18.341870804	0.818347430	0.152542912%
	"Arkansas"	"05"	"2021"	"2021"	464	2044571	22.694247351	20.629281542	24.759213160	1.053553984	18.249899627	16.556601286	19.943197968	0.863927725	0.163842386%
	"Arkansas"	"05"	"2022"	"2022"	448	2058287	21.765672134	19.750142689	23.781201580	1.028331350	17.264799408	15.641110994	18.888487822	0.828412456	0.158192649%
	"Arkansas"	"05"	"2023 "	"2023"	442	2076653	21.284249222	19.299967773	23.268530671	1.012388494	16.656677310	15.082759923	18.230594696	0.803019075	0.156073997%
"Total"	"Arkansas"	"05"			2643	12300343	21.487205682	20.668010422	22.306400942	0.417956765	17.157900829	16.493215442	17.822586215	0.339125197	0.933266007%
	"California"	"06"	"2018"	"2018"	4545	26821695	16.945237801	16.452589720	17.437885882	0.251351062	15.700786612	15.237999695	16.163573529	0.236115774	1.604878548%
	"California"	"06"	"2019"	"2019"	4713	26939547	17.494726248	16.995250388	17.994202107	0.254834622	16.008502199	15.545604122	16.471400275	0.236172488	1.664200792%
	"California"	"06"	"2020"	"2020"	4655	26972341	17.258420394	16.762630954	17.754209834	0.252953796	15.547080174	15.095240236	15.998920112	0.230530581	1.643720493%
	"California"	"06"	"2021"	"2021"	4862	26908453	18.068671581	17.560775551	18.576567611	0.259130628	16.491004207	16.021366271	16.960642143	0.239611192	1.716813972%
	"California"	"06"	"2022"	"2022"	4944	26851336	18.412491654	17.899241128	18.925742180	0.261862513	16.217928777	15.761364637	16.674492918	0.232940888	1.745768876%
	"California"	"06"	"2023 "	"2023"	4987	26957126	18.499746598	17.986291858	19.013201337	0.261966704	16.095317021	15.644516733	16.546117310	0.230000147	1.760952546%
"Total"	"California"	"06"			28706	161450498	17.780062840	17.574377650	17.985748030	0.104941424	16.006807701	15.819575625	16.194039777	0.095526570	10.136335227%
	"Colorado"	"08"	"2018"	"2018"	640	3903501	16.395538262	15.125280775	17.665795749	0.648090555	15.897945612	14.638079131	17.157812092	0.642789021	0.225989499%
	"Colorado"	"08"	"2019"	"2019"	618	3973000	15.554996224	14.328597348	16.781395101	0.625713712	14.715151691	13.529942835	15.900360548	0.604698396	0.218221110%
	"Colorado"	"08"	"2020"	"2020"	643	4030205	15.954523405	14.721320837	17.187725973	0.629184983	15.090494954	13.900795693	16.280194216	0.606989419	0.227048824%
	"Colorado"	"08"	"2021"	"2021"	665	4040577	16.458045472	15.207142839	17.708948105	0.638215629	15.917246213	14.678359795	17.156132631	0.632084907	0.234817213%
	"Colorado"	"08"	"2022"	"2022"	627	4070294	15.404292663	14.198523807	16.610061518	0.615188192	14.115685866	12.992522778	15.238848955	0.573042392	0.221399087%
	"Colorado"	"08"	"2023 "	"2023"	679	4122396	16.471003756	15.232089500	17.709918012	0.632099110	15.009549901	13.861118670	16.157981132	0.585934302	0.239760734%
"Total"	"Colorado"	"08"			3872	24139973	16.039785960	15.534558478	16.545013442	0.257769123	15.068424661	14.584787174	15.552062149	0.246753820	1.367236466%
	"Connecticut"	"09"	"2018"	"2018"	584	2490603	23.448136857	21.546366875	25.349906839	0.970290807	18.396391423	16.878963804	19.913819043	0.774197765	0.206215417%
	"Connecticut"	"09"	"2019"	"2019"	513	2495774	20.554745742	18.776017921	22.333473563	0.907514194	16.017908763	14.608212286	17.427605241	0.719232897	0.181144707%
	"Connecticut"	"09"	"2020"	"2020"	506	2500234	20.238105713	18.474706377	22.001505050	0.899693539	15.836147922	14.428357784	17.243938060	0.718260274	0.178672947%
	"Connecticut"	"09"	"2021"	"2021"	617	2535135	24.337954389	22.417528455	26.258380323	0.979809150	19.391730814	17.836392324	20.947069305	0.793540046	0.217868001%
	"Connecticut"	"09"	"2022"	"2022"	571	2544138	22.443751086	20.602837254	24.284664917	0.939241751	17.495277489	16.039280715	18.951274263	0.742855497	0.201625006%
	"Connecticut"	"09"	"2023 "	"2023"	579	2558865	22.627219490	20.784123394	24.470315586	0.940355151	17.170722408	15.751412242	18.590032573	0.724137839	0.204449874%
"Total"	"Connecticut"	"09"			3370	15124749	22.281361496	21.529075728	23.033647264	0.383819269	17.350230527	16.755322633	17.945138422	0.303524436	1.189975953%
	"Delaware"	"10"	"2018"	"2018"	165	679747	24.273737140	20.569909708	27.977564572	1.889707873	18.953282891	16.002267143	21.904298640	1.505620280	0.058262918%
	"Delaware"	"10"	"2019"	"2019"	166	687698	24.138502657	20.466420797	27.810584516	1.873511153	18.397167685	15.541210627	21.253124744	1.457120948	0.058616026%
	"Delaware"	"10"	"2020"	"2020"	193	699410	27.594686950	23.701521251	31.487852650	1.986309030	20.481266912	17.523770515	23.438763310	1.508926734	0.068149958%
	"Delaware"	"10"	"2021"	"2021"	177	711231	24.886429304	21.220095299	28.552763308	1.870578574	18.652232585	15.817005393	21.487459778	1.446544486	0.062500221%
	"Delaware"	"10"	"2022"	"2022"	188	722684	26.014136192	22.295475473	29.732796912	1.897275877	19.221842436	16.405587168	22.038097704	1.436864933	0.066384415%
	"Delaware"	"10"	"2023 "	"2023"	218	732837	29.747406313	25.798499093	33.696313532	2.014748581	21.117475700	18.249301505	23.985649894	1.463354181	0.076977673%
"Total"	"Delaware"	"10"			1107	4233607	26.147915950	24.607566204	27.688265695	0.785892727	19.509526420	18.332551135	20.686501705	0.600497594	0.390891211%
	"District of Columbia"	"11"	"2018"	"2018"	110	500819	21.964022930	17.859415592	26.068630268	2.094187417	24.459748508	19.821643372	29.097853644	2.366380171	0.038841945%
	"District of Columbia"	"11"	"2019"	"2019"	94	505015	18.613308516	15.041414612	22.778036296	1.919816187	20.904286407	16.851781444	25.637225893	2.184749370	0.033192208%
	"District of Columbia"	"11"	"2020"	"2020"	77	511405	15.056559869	11.882335918	18.818140222	1.715854242	16.892438838	13.286916693	21.174841008	1.948053348	0.027189362%
	"District of Columbia"	"11"	"2021"	"2021"	76	478710	15.876000084	12.508541706	19.871195505	1.821102105	17.311302222	13.593180731	21.732781922	2.010617940	0.026836253%
	"District of Columbia"	"11"	"2022"	"2022"	80	479328	16.690032712	13.234194539	20.772247814	1.866002385	17.914357462	14.182975946	22.326663704	2.018397109	0.028248687%
	"District of Columbia"	"11"	"2023 "	"2023"	81	484525	16.717403643	13.275958929	20.778228161	1.857489294	18.313370105	14.521403691	22.792637300	2.048219710	0.028601796%
"Total"	"District of Columbia"	"11"			518	2959802	17.501170686	15.994014391	19.008326982	0.768957293	19.273324653	17.596228807	20.950420499	0.855661146	0.182910250%
	"Florida"	"12"	"2018"	"2018"	3390	15316063	22.133625332	21.388535260	22.878715403	0.380147996	16.080952359	15.531311870	16.630592849	0.280428821	1.197038125%
	"Florida"	"12"	"2019"	"2019"	3490	15505040	22.508810038	21.762024509	23.255595568	0.381013025	16.185300940	15.638483894	16.732117985	0.278988289	1.232348984%
	"Florida"	"12"	"2020"	"2020"	3518	15740947	22.349354203	21.610815716	23.087892690	0.376805350	15.861738247	15.327715234	16.395761260	0.272460721	1.242236025%
	"Florida"	"12"	"2021"	"2021"	3781	15764041	23.984966799	23.220441512	24.749492085	0.390063922	17.247532032	16.688309086	17.806754978	0.285317830	1.335103584%
	"Florida"	"12"	"2022"	"2022"	3831	16100288	23.794605413	23.041113661	24.548097165	0.384434567	16.716838040	16.177905193	17.255770887	0.274965738	1.352759014%
	"Florida"	"12"	"2023 "	"2023"	3931	16414858	23.947816058	23.199180479	24.696451637	0.381956928	16.874493996	16.336341005	17.412646986	0.274567852	1.388069873%
"Total"	"Florida"	"12"			21941	94841237	23.134451526	22.828334792	23.440568259	0.156182007	16.512603821	16.290023157	16.735184486	0.113561564	7.747555606%
	"Georgia"	"13"	"2018"	"2018"	1301	7003377	18.576752330	17.567296747	19.586207912	0.515028358	17.561796353	16.588936473	18.534656232	0.496357082	0.459394278%
	"Georgia"	"13"	"2019"	"2019"	1319	7098354	18.581772619	17.578957634	19.584587605	0.511640299	17.181497193	16.236928974	18.126065413	0.481922561	0.465750232%
	"Georgia"	"13"	"2020"	"2020"	1365	7190182	18.984220427	17.977097429	19.991343426	0.513838265	17.195703696	16.267557019	18.123850373	0.473544223	0.481993227%
	"Georgia"	"13"	"2021"	"2021"	1368	7248550	18.872740065	17.872629579	19.872850552	0.510260452	17.513952240	16.564160433	18.463744048	0.484587657	0.483052553%
	"Georgia"	"13"	"2022"	"2022"	1369	7336378	18.660434345	17.671935661	19.648933029	0.504336063	16.740080361	15.837850756	17.642309966	0.460321227	0.483405662%
	"Georgia"	"13"	"2023 "	"2023"	1361	7445262	18.280082017	17.308889900	19.251274134	0.495506182	16.238454748	15.361275404	17.115634091	0.447540481	0.480580793%
"Total"	"Georgia"	"13"			8083	43322103	18.657912336	18.251157402	19.064667271	0.207528028	17.053387680	16.674833199	17.431942162	0.193140042	2.854176745%
	"Hawaii"	"15"	"2018"	"2018"	193	995834	19.380740164	16.646430006	22.115050322	1.395056203	15.300572895	13.080912893	17.520232897	1.132479593	0.068149958%
	"Hawaii"	"15"	"2019"	"2019"	210	997130	21.060443473	18.211958479	23.908928467	1.453308671	16.475796579	14.184857898	18.766735260	1.168846266	0.074152804%
	"Hawaii"	"15"	"2020"	"2020"	226	994906	22.715713846	19.754101302	25.677326391	1.511026808	17.144985888	14.847182508	19.442789268	1.172348663	0.079802542%
	"Hawaii"	"15"	"2021"	"2021"	216	1018888	21.199582290	18.372382502	24.026782078	1.442448871	16.413524240	14.169453670	18.657594809	1.144933964	0.076271456%
	"Hawaii"	"15"	"2022"	"2022"	238	1022168	23.283843752	20.325679605	26.242007898	1.509267422	17.073273840	14.853370634	19.293177047	1.132603677	0.084039845%
	"Hawaii"	"15"	"2023 "	"2023"	242	1026113	23.584147165	20.612696223	26.555598107	1.516046399	16.929417344	14.754493627	19.104341062	1.109654958	0.085452279%
"Total"	"Hawaii"	"15"			1325	6055039	21.882600591	20.704324499	23.060876683	0.601161272	16.594340200	15.678428152	17.510252249	0.467302065	0.467868884%
	"Idaho"	"16"	"2018"	"2018"	213	1144468	18.611267419	16.111830278	21.110704560	1.275223031	15.790746519	13.629681640	17.951811398	1.102584122	0.075212130%
	"Idaho"	"16"	"2019"	"2019"	225	1174458	19.157773203	16.654490837	21.661055568	1.277184880	15.748608399	13.655273686	17.841943113	1.068027915	0.079449433%
	"Idaho"	"16"	"2020"	"2020"	251	1208125	20.775995861	18.205712169	23.346279554	1.311369231	17.066330024	14.915309417	19.217350631	1.097459493	0.088630256%
	"Idaho"	"16"	"2021"	"2021"	257	1258308	20.424252250	17.927153741	22.921350758	1.274029851	17.128704037	14.985347832	19.272060242	1.093549084	0.090748908%
	"Idaho"	"16"	"2022"	"2022"	246	1279698	19.223285494	16.821046935	21.625524053	1.225631918	15.810030888	13.798705159	17.821356617	1.026186596	0.086864714%
	"Idaho"	"16"	"2023 "	"2023"	275	1303711	21.093631948	18.600523970	23.586739925	1.271993866	17.251406866	15.178800155	19.324013577	1.057452404	0.097104863%
"Total"	"Idaho"	"16"			1467	7368768	19.908348315	18.889578087	20.927118544	0.519780729	16.481524918	15.622835384	17.340214452	0.438106905	0.518010304%
	"Illinois"	"17"	"2018"	"2018"	1880	8707504	21.590572913	20.614592024	22.566553801	0.497949433	18.425472851	17.580894770	19.270050931	0.430907184	0.663844152%
	"Illinois"	"17"	"2019"	"2019"	1823	8696535	20.962371795	20.000088035	21.924655555	0.490961102	17.777958580	16.949867843	18.606049317	0.422495274	0.643716962%
	"Illinois"	"17"	"2020"	"2020"	1943	8671134	22.407680472	21.411319806	23.404041137	0.508347278	18.582045330	17.744115806	19.419974855	0.427515064	0.686089993%
	"Illinois"	"17"	"2021"	"2021"	1887	8727067	21.622384703	20.646780390	22.597989015	0.497757302	18.279596749	17.441141514	19.118051984	0.427783283	0.666315912%
	"Illinois"	"17"	"2022"	"2022"	1871	8692160	21.525144498	20.549783797	22.500505199	0.497633011	17.602646566	16.794639345	18.410653788	0.412248582	0.660666175%
	"Illinois"	"17"	"2023 "	"2023"	1969	8705736	22.617272107	21.618253824	23.616290390	0.509703206	18.443302252	17.618052873	19.268551631	0.421045602	0.695270817%
"Total"	"Illinois"	"17"			11373	52200136	21.787299558	21.386873846	22.187725270	0.204298833	18.215148545	17.875751095	18.554545994	0.173161964	4.015904011%
	"Indiana"	"18"	"2018"	"2018"	953	4467771	21.330547156	19.976257327	22.684836986	0.690964199	17.833731693	16.684224301	18.983239085	0.586483363	0.336512488%
	"Indiana"	"18"	"2019"	"2019"	999	4504500	22.177822178	20.802538704	23.553105651	0.701675242	18.249044059	17.100060924	19.398027194	0.586215885	0.352755483%
	"Indiana"	"18"	"2020"	"2020"	1056	4532466	23.298575213	21.893325596	24.703824829	0.716964090	19.214835035	18.035173006	20.394497065	0.601868382	0.372882673%
	"Indiana"	"18"	"2021"	"2021"	1070	4560080	23.464500623	22.058532421	24.870468824	0.717330715	19.553240594	18.360122921	20.746358267	0.608733507	0.377826193%
	"Indiana"	"18"	"2022"	"2022"	1062	4585693	23.158986003	21.766107123	24.551864883	0.710652490	19.269483691	18.089996386	20.448970996	0.601779237	0.375001324%
	"Indiana"	"18"	"2023 "	"2023"	1052	4613822	22.801053010	21.423199313	24.178906706	0.702986580	18.589944658	17.447977059	19.731912257	0.582636530	0.371470238%
"Total"	"Indiana"	"18"			6192	27264332	22.710991049	22.145303417	23.276678681	0.288616139	18.777876918	18.302468824	19.253285013	0.242555150	2.186448398%
	"Iowa"	"19"	"2018"	"2018"	456	2106348	21.648844350	19.661796306	23.635892395	1.013800023	16.726231807	15.166709754	18.285753859	0.795674516	0.161017518%
	"Iowa"	"19"	"2019"	"2019"	477	2114524	22.558268433	20.533839003	24.582697863	1.032872158	17.609064043	15.997361933	19.220766153	0.822296995	0.168432798%
	"Iowa"	"19"	"2020"	"2020"	439	2124146	20.667129284	18.733808288	22.600450280	0.986388263	15.727581379	14.229001718	17.226161040	0.764581460	0.155014672%
	"Iowa"	"19"	"2021"	"2021"	470	2140501	21.957476310	19.972343510	23.942609111	1.012822857	17.514152579	15.898177924	19.130127235	0.824476865	0.165961038%
	"Iowa"	"19"	"2022"	"2022"	470	2147535	21.885557162	19.906926432	23.864187892	1.009505474	16.838747551	15.280471907	18.397023195	0.795038594	0.165961038%
	"Iowa"	"19"	"2023 "	"2023"	499	2157758	23.125855633	21.096754896	25.154956371	1.035255478	17.852089868	16.255945703	19.448234033	0.814359268	0.176201187%
"Total"	"Iowa"	"19"			2811	12790812	21.976712659	21.164278120	22.789147199	0.414507418	17.052989428	16.410547955	17.695430901	0.327776262	0.992588251%
	"Kansas"	"20"	"2018"	"2018"	399	1910809	20.881207907	18.832286778	22.930129036	1.045367923	17.005085720	15.307335997	18.702835443	0.866198838	0.140890328%
	"Kansas"	"20"	"2019"	"2019"	417	1918904	21.731154868	19.645363572	23.816946163	1.064179232	17.510993697	15.796316911	19.225670483	0.874835095	0.147246283%
	"Kansas"	"20"	"2020"	"2020"	416	1925317	21.606831498	19.530481838	23.683181159	1.059362072	17.410402237	15.703278385	19.117526090	0.870981557	0.146893174%
	"Kansas"	"20"	"2021"	"2021"	428	1937697	22.088076722	19.995448447	24.180704997	1.067667487	18.133026265	16.382387468	19.883665063	0.893183060	0.151130477%
	"Kansas"	"20"	"2022"	"2022"	426	1938797	21.972388032	19.885839302	24.058936763	1.064565679	17.680222613	15.972359409	19.388085816	0.871358777	0.150424260%
	"Kansas"	"20"	"2023 "	"2023"	431	1946549	22.141749322	20.051349470	24.232149173	1.066530536	17.529665557	15.848504010	19.210827105	0.857735484	0.152189803%
"Total"	"Kansas"	"20"			2517	11578073	21.739368891	20.890068360	22.588669423	0.433316598	17.528413793	16.831511726	18.225315860	0.355562279	0.888774325%
	"Kentucky"	"21"	"2018"	"2018"	752	3041841	24.721870736	22.954903558	26.488837913	0.901513866	20.537061301	19.045394720	22.028727882	0.761054378	0.265537661%
	"Kentucky"	"21"	"2019"	"2019"	648	3050848	21.239996224	19.604599951	22.875392497	0.834385854	17.220356620	15.873156906	18.567556335	0.687346793	0.228814367%
	"Kentucky"	"21"	"2020"	"2020"	658	3063277	21.480264436	19.838984169	23.121544703	0.837387891	17.323176614	15.974718210	18.671635018	0.687988982	0.232345453%
	"Kentucky"	"21"	"2021"	"2021"	654	3078828	21.241849171	19.613829988	22.869868354	0.830622032	17.770391327	16.378340978	19.162441677	0.710229770	0.230933019%
	"Kentucky"	"21"	"2022"	"2022"	689	3089879	22.298607810	20.633569580	23.963646040	0.849509301	18.225370451	16.839464619	19.611276282	0.707094812	0.243291820%
	"Kentucky"	"21"	"2023 "	"2023"	714	3101833	23.018647361	21.330202957	24.707091766	0.861451227	18.333456369	16.966080170	19.700832568	0.697640918	0.252119534%
"Total"	"Kentucky"	"21"			4115	18426506	22.331960275	21.649624726	23.014295824	0.348130382	18.223838002	17.657061937	18.790614068	0.289171462	1.453041854%
	"Louisiana"	"22"	"2018"	"2018"	652	3138713	20.772845431	19.178331701	22.367359160	0.813527413	17.943905133	16.541232886	19.346577379	0.715649105	0.230226802%
	"Louisiana"	"22"	"2019"	"2019"	757	3142121	24.092006641	22.375754446	25.808258837	0.875638875	20.595975431	19.102987503	22.088963360	0.761728535	0.267303204%
	"Louisiana"	"22"	"2020"	"2020"	665	3147630	21.127006669	19.521237119	22.732776218	0.819270178	17.769056595	16.392082147	19.146031044	0.702537984	0.234817213%
	"Louisiana"	"22"	"2021"	"2021"	698	3127556	22.317745869	20.662057157	23.973434582	0.844739139	18.683525878	17.265925041	20.101126715	0.723265733	0.246469797%
	"Louisiana"	"22"	"2022"	"2022"	735	3097867	23.726002440	22.010714743	25.441290136	0.875146784	19.548507265	18.106308151	20.990706379	0.735815875	0.259534815%
	"Louisiana"	"22"	"2023 "	"2023"	741	3090075	23.980000485	22.253382920	25.706618051	0.880927329	19.697471663	18.249827676	21.145115650	0.738593871	0.261653466%
"Total"	"Louisiana"	"22"			4248	18743962	22.663298186	21.981765122	23.344831251	0.347720951	19.048995021	18.465187361	19.632802681	0.297861051	1.500005297%
	"Maine"	"23"	"2018"	"2018"	234	980876	23.856226475	20.799547064	26.912905886	1.559530312	18.083006999	15.684803719	20.481210280	1.223573102	0.082627410%
	"Maine"	"23"	"2019"	"2019"	234	988438	23.673715499	20.640421075	26.707009923	1.547599196	17.282390656	15.019903322	19.544877990	1.154330272	0.082627410%
	"Maine"	"23"	"2020"	"2020"	247	996077	24.797279728	21.704766003	27.889793454	1.577813125	17.486529835	15.243973656	19.729086013	1.144161316	0.087217822%
	"Maine"	"23"	"2021"	"2021"	277	1013222	27.338529957	24.119008344	30.558051570	1.642613068	19.790456103	17.393651879	22.187260326	1.222859298	0.097811080%
	"Maine"	"23"	"2022"	"2022"	248	1026980	24.148474167	21.142952067	27.153996267	1.533429643	16.842831920	14.694216122	18.991447719	1.096232550	0.087570931%
	"Maine"	"23"	"2023 "	"2023"	266	1035944	25.677063625	22.591314530	28.762812720	1.574361783	17.637465770	15.476762392	19.798169148	1.102399683	0.093926885%
"Total"	"Maine"	"23"			1506	6041537	24.927431546	23.668444917	26.186418175	0.642340117	17.849875394	16.925301871	18.774448917	0.471721185	0.531781539%
	"Maryland"	"24"	"2018"	"2018"	844	4171210	20.233936915	18.868834485	21.599039345	0.696480831	17.686531452	16.473416413	18.899646492	0.618936244	0.298023651%
	"Maryland"	"24"	"2019"	"2019"	855	4184844	20.430869108	19.061375986	21.800362230	0.698720981	17.508384225	16.316669348	18.700099103	0.608017795	0.301907846%
	"Maryland"	"24"	"2020"	"2020"	877	4201500	20.873497560	19.491995617	22.254999504	0.704847930	17.544630439	16.365271564	18.723989313	0.601713712	0.309676235%
	"Maryland"	"24"	"2021"	"2021"	839	4273591	19.632201584	18.303755002	20.960648166	0.677778868	17.013014538	15.841785927	18.184243150	0.597565618	0.296258108%
	"Maryland"	"24"	"2022"	"2022"	862	4283668	20.122941367	18.779576765	21.466305969	0.685390103	16.644909918	15.518534282	17.771285554	0.574681447	0.304379606%
	"Maryland"	"24"	"2023 "	"2023"	939	4298727	21.843676046	20.446506849	23.240845243	0.712841427	17.983884884	16.820303390	19.147466378	0.593664028	0.331568967%
"Total"	"Maryland"	"24"			5216	25413540	20.524492062	19.967486287	21.081497837	0.284186620	17.394748751	16.915717342	17.873780161	0.244403781	1.841814413%
	"Massachusetts"	"25"	"2018"	"2018"	1002	4833363	20.730907238	19.447275286	22.014539190	0.654914261	17.510728809	16.408112625	18.613344993	0.562559278	0.353814809%
	"Massachusetts"	"25"	"2019"	"2019"	1057	4848982	21.798389848	20.484245737	23.112533958	0.670481689	18.056651484	16.950428077	19.162874891	0.564399697	0.373235781%
	"Massachusetts"	"25"	"2020"	"2020"	1034	4868179	21.239974947	19.945332619	22.534617276	0.660531800	17.420270934	16.339925775	18.500616093	0.551196510	0.365114284%
	"Massachusetts"	"25"	"2021"	"2021"	1099	4936566	22.262439113	20.946214614	23.578663611	0.671543111	18.521638594	17.407469641	19.635807547	0.568453547	0.388066342%
	"Massachusetts"	"25"	"2022"	"2022"	1088	4947256	21.991989095	20.685198093	23.298780096	0.666730103	17.637286890	16.574014753	18.700559027	0.542485784	0.384182148%
	"Massachusetts"	"25"	"2023 "	"2023"	1135	4978391	22.798530690	21.472159747	24.124901633	0.676719869	18.131035746	17.062448815	19.199622678	0.545197414	0.400778251%
"Total"	"Massachusetts"	"25"			6415	29412737	21.810278996	21.276552255	22.344005736	0.272309561	17.889896376	17.445350245	18.334442507	0.226809251	2.265191614%
	"Michigan"	"26"	"2018"	"2018"	1599	6869308	23.277453857	22.136502015	24.418405699	0.582118287	18.640849329	17.710791146	19.570907513	0.474519482	0.564620638%
	"Michigan"	"26"	"2019"	"2019"	1657	6897401	24.023541621	22.866812019	25.180271223	0.590168164	18.895277367	17.968268289	19.822286444	0.472963815	0.585100936%
	"Michigan"	"26"	"2020"	"2020"	1698	6911877	24.566409385	23.397908856	25.734909914	0.596173739	19.184004261	18.253628454	20.114380067	0.474681534	0.599578388%
	"Michigan"	"26"	"2021"	"2021"	1707	6967687	24.498804266	23.336595361	25.661013171	0.592963727	19.511567363	18.564464348	20.458670378	0.483215824	0.602756366%
	"Michigan"	"26"	"2022"	"2022"	1714	6970198	24.590406184	23.426236287	25.754576080	0.593964233	19.136408620	18.211269263	20.061547978	0.472009876	0.605228126%
	"Michigan"	"26"	"2023 "	"2023"	1783	7002243	25.463269412	24.281331768	26.645207056	0.603029410	19.607514697	18.678503540	20.536525853	0.473985284	0.629592619%
"Total"	"Michigan"	"26"			10158	41618714	24.407289471	23.932641620	24.881937322	0.242167271	19.150154590	18.770560395	19.529748785	0.193670508	3.586877072%
	"Minnesota"	"27"	"2018"	"2018"	697	3806928	18.308725566	16.949480399	19.667970732	0.693492432	15.418773420	14.254606037	16.582940803	0.593962951	0.246116688%
	"Minnesota"	"27"	"2019"	"2019"	782	3838357	20.373300347	18.945346790	21.801253904	0.728547733	16.993616672	15.781054216	18.206179128	0.618654314	0.276130919%
	"Minnesota"	"27"	"2020"	"2020"	811	3862286	20.997927134	19.552746715	22.443107553	0.737336948	17.198605110	15.993705525	18.403504696	0.614744687	0.286371068%
